source_url,source_host,source_path,referring_domains,dofollow_links,decision,expected_production_result,release_state,canonical,robots,internal_link_verified
https://www.temporary123.com/temporary-workforce-housing-facilities/,www.temporary123.com,/temporary-workforce-housing-facilities/,4,22678,preserve_exact_200,/temporary-workforce-housing-facilities/,index,https://temporary123.com/temporary-workforce-housing-facilities/,"index,follow",yes
https://www.temporary123.com/remote-workforce-house-company-in-alabama/,www.temporary123.com,/remote-workforce-house-company-in-alabama/,1,22659,preserve_exact_200,/remote-workforce-house-company-in-alabama/,index,https://temporary123.com/remote-workforce-house-company-in-alabama/,"index,follow",yes
https://www.temporary123.com/remote-workforce-housing-rentals-in-arizona/,www.temporary123.com,/remote-workforce-housing-rentals-in-arizona/,1,22659,preserve_exact_200,/remote-workforce-housing-rentals-in-arizona/,index,https://temporary123.com/remote-workforce-housing-rentals-in-arizona/,"index,follow",yes
https://www.temporary123.com/remote-workforce-housing-services-in-alaska/,www.temporary123.com,/remote-workforce-housing-services-in-alaska/,1,22659,preserve_exact_200,/remote-workforce-housing-services-in-alaska/,index,https://temporary123.com/remote-workforce-housing-services-in-alaska/,"index,follow",yes
https://temporary123.com/temporary-workforce-housing-facilities/,temporary123.com,/temporary-workforce-housing-facilities/,4,5158,preserve_exact_200,/temporary-workforce-housing-facilities/,index,https://temporary123.com/temporary-workforce-housing-facilities/,"index,follow",yes
https://temporary123.com/remote-workforce-house-company-in-alabama/,temporary123.com,/remote-workforce-house-company-in-alabama/,1,4351,preserve_exact_200,/remote-workforce-house-company-in-alabama/,index,https://temporary123.com/remote-workforce-house-company-in-alabama/,"index,follow",yes
https://temporary123.com/remote-workforce-housing-rentals-in-arizona/,temporary123.com,/remote-workforce-housing-rentals-in-arizona/,1,2313,preserve_exact_200,/remote-workforce-housing-rentals-in-arizona/,index,https://temporary123.com/remote-workforce-housing-rentals-in-arizona/,"index,follow",yes
https://www.temporary123.com/equipment-rental/sleeper-trailers/,www.temporary123.com,/equipment-rental/sleeper-trailers/,2,344,preserve_exact_200,/equipment-rental/sleeper-trailers/,index,https://temporary123.com/equipment-rental/sleeper-trailers/,"index,follow",yes
https://www.temporary123.com/equipment-rental/breakroom-trailer/,www.temporary123.com,/equipment-rental/breakroom-trailer/,1,343,preserve_exact_200,/equipment-rental/breakroom-trailer/,index,https://temporary123.com/equipment-rental/breakroom-trailer/,"index,follow",existing-route
https://www.temporary123.com/equipment-rental/command-center-trailers/,www.temporary123.com,/equipment-rental/command-center-trailers/,1,343,preserve_exact_200,/equipment-rental/command-center-trailers/,index,https://temporary123.com/equipment-rental/command-center-trailers/,"index,follow",yes
https://www.temporary123.com/equipment-rental/decontamination-trailers/,www.temporary123.com,/equipment-rental/decontamination-trailers/,1,343,preserve_exact_200,/equipment-rental/decontamination-trailers/,index,https://temporary123.com/equipment-rental/decontamination-trailers/,"index,follow",yes
https://www.temporary123.com/equipment-rental/mobile-office-trailers/,www.temporary123.com,/equipment-rental/mobile-office-trailers/,1,343,preserve_exact_200,/equipment-rental/mobile-office-trailers/,index,https://temporary123.com/equipment-rental/mobile-office-trailers/,"index,follow",existing-route
https://www.temporary123.com/equipment-rental/multi-trailer/,www.temporary123.com,/equipment-rental/multi-trailer/,1,343,preserve_exact_200,/equipment-rental/multi-trailer/,index,https://temporary123.com/equipment-rental/multi-trailer/,"index,follow",yes
https://www.temporary123.com/equipment-rental/restroom-trailers/,www.temporary123.com,/equipment-rental/restroom-trailers/,1,343,preserve_exact_200,/equipment-rental/restroom-trailers/,index,https://temporary123.com/equipment-rental/restroom-trailers/,"index,follow",existing-route
https://www.temporary123.com/equipment-rental/shower-trailer/,www.temporary123.com,/equipment-rental/shower-trailer/,1,343,preserve_exact_200,/equipment-rental/shower-trailer/,index,https://temporary123.com/equipment-rental/shower-trailer/,"index,follow",existing-route
https://www.temporary123.com/equipment-rental/dump-rental/,www.temporary123.com,/equipment-rental/dump-rental/,1,239,preserve_exact_200,/equipment-rental/dump-rental/,index,https://temporary123.com/equipment-rental/dump-rental/,"index,follow",yes
https://www.temporary123.com/equipment-rental/generator-trailers/,www.temporary123.com,/equipment-rental/generator-trailers/,1,239,preserve_exact_200,/equipment-rental/generator-trailers/,index,https://temporary123.com/equipment-rental/generator-trailers/,"index,follow",existing-route
https://www.temporary123.com/equipment-rental/port-potties-and-port-johns/,www.temporary123.com,/equipment-rental/port-potties-and-port-johns/,1,239,preserve_exact_200,/equipment-rental/port-potties-and-port-johns/,index,https://temporary123.com/equipment-rental/port-potties-and-port-johns/,"index,follow",yes
https://www.temporary123.com/equipment-rental/ramp-rental/,www.temporary123.com,/equipment-rental/ramp-rental/,1,239,preserve_exact_200,/equipment-rental/ramp-rental/,index,https://temporary123.com/equipment-rental/ramp-rental/,"index,follow",yes
https://www.temporary123.com/equipment-rental/stair-rental/,www.temporary123.com,/equipment-rental/stair-rental/,1,239,preserve_exact_200,/equipment-rental/stair-rental/,index,https://temporary123.com/equipment-rental/stair-rental/,"index,follow",yes
https://www.temporary123.com/equipment-rental/waste-container/,www.temporary123.com,/equipment-rental/waste-container/,1,239,preserve_exact_200,/equipment-rental/waste-container/,index,https://temporary123.com/equipment-rental/waste-container/,"index,follow",yes
https://www.temporary123.com/equipment-rental/wastewater-and-freshwater-container/,www.temporary123.com,/equipment-rental/wastewater-and-freshwater-container/,1,239,preserve_exact_200,/equipment-rental/wastewater-and-freshwater-container/,index,https://temporary123.com/equipment-rental/wastewater-and-freshwater-container/,"index,follow",existing-route
https://temporary123.com/equipment-rental/decontamination-trailers/,temporary123.com,/equipment-rental/decontamination-trailers/,1,190,preserve_exact_200,/equipment-rental/decontamination-trailers/,index,https://temporary123.com/equipment-rental/decontamination-trailers/,"index,follow",yes
https://temporary123.com/,temporary123.com,/,579,182,preserve_exact_200,/,index,https://temporary123.com/,"index,follow",existing-route
https://temporary123.com/equipment-rental/breakroom-trailer/,temporary123.com,/equipment-rental/breakroom-trailer/,1,178,preserve_exact_200,/equipment-rental/breakroom-trailer/,index,https://temporary123.com/equipment-rental/breakroom-trailer/,"index,follow",existing-route
https://temporary123.com/equipment-rental/command-center-trailers/,temporary123.com,/equipment-rental/command-center-trailers/,1,178,preserve_exact_200,/equipment-rental/command-center-trailers/,index,https://temporary123.com/equipment-rental/command-center-trailers/,"index,follow",yes
https://temporary123.com/equipment-rental/multi-trailer/,temporary123.com,/equipment-rental/multi-trailer/,1,178,preserve_exact_200,/equipment-rental/multi-trailer/,index,https://temporary123.com/equipment-rental/multi-trailer/,"index,follow",yes
https://temporary123.com/equipment-rental/restroom-trailers/,temporary123.com,/equipment-rental/restroom-trailers/,1,178,preserve_exact_200,/equipment-rental/restroom-trailers/,index,https://temporary123.com/equipment-rental/restroom-trailers/,"index,follow",existing-route
https://temporary123.com/equipment-rental/shower-trailer/,temporary123.com,/equipment-rental/shower-trailer/,1,178,preserve_exact_200,/equipment-rental/shower-trailer/,index,https://temporary123.com/equipment-rental/shower-trailer/,"index,follow",existing-route
https://temporary123.com/equipment-rental/mobile-office-trailers/,temporary123.com,/equipment-rental/mobile-office-trailers/,1,177,preserve_exact_200,/equipment-rental/mobile-office-trailers/,index,https://temporary123.com/equipment-rental/mobile-office-trailers/,"index,follow",existing-route
https://www.temporary123.com/,www.temporary123.com,/,307,166,preserve_exact_200,/,index,https://temporary123.com/,"index,follow",existing-route
https://temporary123.com/equipment-rental/ramp-rental/,temporary123.com,/equipment-rental/ramp-rental/,1,111,preserve_exact_200,/equipment-rental/ramp-rental/,index,https://temporary123.com/equipment-rental/ramp-rental/,"index,follow",yes
https://temporary123.com/equipment-rental/generator-trailers/,temporary123.com,/equipment-rental/generator-trailers/,1,107,preserve_exact_200,/equipment-rental/generator-trailers/,index,https://temporary123.com/equipment-rental/generator-trailers/,"index,follow",existing-route
https://temporary123.com/equipment-rental/port-potties-and-port-johns/,temporary123.com,/equipment-rental/port-potties-and-port-johns/,1,107,preserve_exact_200,/equipment-rental/port-potties-and-port-johns/,index,https://temporary123.com/equipment-rental/port-potties-and-port-johns/,"index,follow",yes
https://temporary123.com/equipment-rental/stair-rental/,temporary123.com,/equipment-rental/stair-rental/,1,107,preserve_exact_200,/equipment-rental/stair-rental/,index,https://temporary123.com/equipment-rental/stair-rental/,"index,follow",yes
https://temporary123.com/equipment-rental/wastewater-and-freshwater-container/,temporary123.com,/equipment-rental/wastewater-and-freshwater-container/,1,107,preserve_exact_200,/equipment-rental/wastewater-and-freshwater-container/,index,https://temporary123.com/equipment-rental/wastewater-and-freshwater-container/,"index,follow",existing-route
